Messy Descriptor,Merchant Name,Label,Generated By
WLMRT#001-OTTAWA,Walmart Ottawa Store 001,MATCH,Humans
MCD-ST234-VAN,McDonald's Vancouver Store 234,MATCH,Humans
AMZN Mktp CA*UC33G2023,Amazon Canada Marketplace,MATCH,Humans
UBR-LAX-RIDE#456,Uber Ride Los Angeles,MATCH,Humans
T-HRTNS#450-TOR,Tim Hortons Toronto Store 450,MATCH,Humans
XYZ123-TKN.BILL.PAY,Token Payments Ltd.,MATCH,Humans
TRVL123#WEB.PYMNT,Travel Inc. Online Payments,MATCH,Humans
A12B34-FIN-TXNS,Finance Transactions Co.,MATCH,Humans
PPL#99-WEB-TFR,PayPal Transfer,MATCH,Humans
BMS*SERVICE-FEE01,Billing Management Systems,MATCH,Humans
AMZN Mktp CA*871PG7QT3,Amazing Mart Canada,MISMATCH,Humans
STRBCKS#001-TOR,Star Books Toronto,MISMATCH,Humans
UBR-TRP123-LAX,Urban Transport LA,MISMATCH,Humans
T-HRTNS-ST50-EDM,Tom's Hardware Edmonton,MISMATCH,Humans
DELTA#456-US,Delta Equipment Co.,MISMATCH,Humans
PPL*TFR99-US,People Transfers LLC,MISMATCH,Humans
TRVL#567-WEB,Treville Web Services,MISMATCH,Humans
NETFLX#999-USA,NetFlex Gym USA,MISMATCH,Humans
SHELL#123-VAN,Shellfish Cafe Vancouver,MISMATCH,Humans
BMS*FEE01-CA,BMS Fitness Equipment,MISMATCH,Humans
