Messy Descriptor,Merchant Name,Label,Generated By
EBAY*ELEC #1023 USA,eBay Electronics USA,MATCH,ChatGPT-4.1
USA EBAY ELEC SVC-882,eBay Electronics USA,MATCH,ChatGPT-4.1
EbayElectronicsUS*CA,eBay Electronics USA,MATCH,ChatGPT-4.1
EBAY ELEC-TRNC USA 5548,eBay Electronics USA,MATCH,ChatGPT-4.1
EBY ELCTRNX USA*,eBay Electronics USA,MATCH,ChatGPT-4.1
BRGR KNG FL #210,Burger King Florida Store,MATCH,ChatGPT-4.1
FL-BurgerKing Store 88,Burger King Florida Store,MATCH,ChatGPT-4.1
BGR KING STR FL 4432,Burger King Florida Store,MATCH,ChatGPT-4.1
*BURGERKING*FLORIDA ST,Burger King Florida Store,MATCH,ChatGPT-4.1
BURGRKNGFL-0087,Burger King Florida Store,MATCH,ChatGPT-4.1
BPSTN VANCOUVER 102,BP Station Vancouver,MATCH,ChatGPT-4.1
BP*Station-VANC#77,BP Station Vancouver,MATCH,ChatGPT-4.1
VANBPSTATN 0039,BP Station Vancouver,MATCH,ChatGPT-4.1
BPStation-Vancouver CA*,BP Station Vancouver,MATCH,ChatGPT-4.1
BP-STN VAN 2822,BP Station Vancouver,MATCH,ChatGPT-4.1
LYFT*RDE NYC 204,Lyft Ride New York City,MATCH,ChatGPT-4.1
NYC LYFTRIDE 11-47,Lyft Ride New York City,MATCH,ChatGPT-4.1
LYFT-Ride#NYCity,Lyft Ride New York City,MATCH,ChatGPT-4.1
LYFT NYC*RIDE 0038,Lyft Ride New York City,MATCH,ChatGPT-4.1
LyftRdeNewYorkCty*US,Lyft Ride New York City,MATCH,ChatGPT-4.1
EBAY*COLLECT US 788,eBay Collectibles US,MATCH,ChatGPT-4.1
EBAYCLLCTBL#US,eBay Collectibles US,MATCH,ChatGPT-4.1
EbayCollct US*04,eBay Collectibles US,MATCH,ChatGPT-4.1
US-EbayCollectbls 0661,eBay Collectibles US,MATCH,ChatGPT-4.1
EBAY COLCTBLS-USA,eBay Collectibles US,MATCH,ChatGPT-4.1
LYFT RIDE ORL#162,Lyft Ride Orlando,MATCH,ChatGPT-4.1
ORLANDO-LYFT*RIDE 45,Lyft Ride Orlando,MATCH,ChatGPT-4.1
LYFTRDE ORLANDO FL,Lyft Ride Orlando,MATCH,ChatGPT-4.1
LyftRideOrlnd*US,Lyft Ride Orlando,MATCH,ChatGPT-4.1
LYFT*ORL RIDE 0098,Lyft Ride Orlando,MATCH,ChatGPT-4.1
PANDORASUBS*USA 3201,Pandora Subscription USA,MATCH,ChatGPT-4.1
Pandora*SUB US#101,Pandora Subscription USA,MATCH,ChatGPT-4.1
PANDORA-SUBSCRIPTION USA,Pandora Subscription USA,MATCH,ChatGPT-4.1
PNDR SUBSCRPTN US 77,Pandora Subscription USA,MATCH,ChatGPT-4.1
PANDORASUB USA*1128,Pandora Subscription USA,MATCH,ChatGPT-4.1
MCDNLD STR MIAMI 005,McDonald's Store Miami,MATCH,ChatGPT-4.1
MIAMI#MCDONALDS STORE,McDonald's Store Miami,MATCH,ChatGPT-4.1
MCDONALD'S*STORE-MIA,McDonald's Store Miami,MATCH,ChatGPT-4.1
MCD MIAMI*STR-729,McDonald's Store Miami,MATCH,ChatGPT-4.1
MC DONLDS-MIAMI 1992,McDonald's Store Miami,MATCH,ChatGPT-4.1
SUNOCO STN SFCA #44,Sunoco Station San Francisco,MATCH,ChatGPT-4.1
SUNOCOSTAT-SAN FRAN 981,Sunoco Station San Francisco,MATCH,ChatGPT-4.1
SF*SUNOCO STATION 21,Sunoco Station San Francisco,MATCH,ChatGPT-4.1
